Table Description,Table Name,Name,Name clean,Description,Description clean,'Type / Format',Last Updated,Last Updated date,File Name,Comments,Length,Values,Example
Controls which departments can view/use a sub-program.,BU50T1_RESP_DN_SUB_PROGRAMS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:49,2013-05-07T00:54:49Z,DATE_CREATED_18683,NULL,7.0,NULL,NULL
Controls which work types can be seen/used by a department.,BU50T1_RESP_DN_WORK_TYPES,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:49,2013-05-07T00:54:49Z,DATE_CREATED_18692,NULL,7.0,NULL,NULL
Table contains no data.,BU50T1_ROLES,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:49,2013-05-07T00:54:49Z,DATE_CREATED_18702,NULL,7.0,NULL,NULL
Contains a full list of all valid street available for geocoding purposes,BU50T1_STREETS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:49,2013-05-07T00:54:49Z,DATE_CREATED_18722,NULL,7.0,NULL,NULL
Contains all program/sub-program combinations.,BU50T1_SUB_PROGRAMS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:49,2013-05-07T00:54:49Z,DATE_CREATED_18732,NULL,7.0,NULL,NULL
Contains all CIP vendors.,BU50T1_VENDORS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:49,2013-05-07T00:54:49Z,DATE_CREATED_18748,NULL,7.0,NULL,NULL
Contains the CPM work categories.,BU50T1_WORK_CATEGORIES,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:49,2013-05-07T00:54:49Z,DATE_CREATED_18755,NULL,7.0,NULL,NULL
Contains all the work types listed in CPM.,BU50T1_WORK_TYPES,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:49,2013-05-07T00:54:49Z,DATE_CREATED_18766,NULL,7.0,NULL,NULL
List of security roles,APP_ROLE,DATE_DEACTIVATED,DATE_DEACTIVATED,date user was deactived from CDGA,date user was deactived from CDGA,DATE,2013-05-07 00:54:16,2013-05-07T00:54:16Z,DATE_DEACTIVATED_16760,NULL,7.0,NULL,NULL
stores contract information entered by the procurement department.,BU50T1_DT_CONTRACTS,DATE_IMPORTED,DATE_IMPORTED,Date imported into CPM,Date imported into CPM,DATE,2013-05-07 00:54:46,2013-05-07T00:54:46Z,DATE_IMPORTED_17826,NULL,7.0,sysdate,NULL
stores contract cycle information.,BU50T1_DT_CONTRACT_CYCLES,DATE_IMPORTED,DATE_IMPORTED,Date imported into CPM,Date imported into CPM,DATE,2013-05-07 00:54:46,2013-05-07T00:54:46Z,DATE_IMPORTED_17842,NULL,7.0,sysdate,NULL
stores information regarding the contract cycle steps.,BU50T1_DT_CYCLE_SETUPS,DATE_IMPORTED,DATE_IMPORTED,Date imported into CPM,Date imported into CPM,DATE,2013-05-07 00:54:46,2013-05-07T00:54:46Z,DATE_IMPORTED_17855,NULL,7.0,sysdate,NULL
"contains lookup values that are used by the other BU50T1_DT"" tables.""",BU50T1_DT_LOOKUPS,DATE_IMPORTED,DATE_IMPORTED,Date imported into CPM,Date imported into CPM,DATE,2013-05-07 00:54:46,2013-05-07T00:54:46Z,DATE_IMPORTED_17868,NULL,7.0,sysdate,NULL
List of actions for the Budget Book Application based on user role,BOOK_ACTION,DATE_MODIFIED,DATE_MODIFIED,NULL,NULL,DATE,2013-05-07 00:53:46,2013-05-07T00:53:46Z,DATE_MODIFIED_15046,NULL,7.0,NULL,NULL
Annotations entered into the Budget Book application by OBM staff,BOOK_ANNOTATION,DATE_MODIFIED,DATE_MODIFIED,NULL,NULL,DATE,2013-05-07 00:53:46,2013-05-07T00:53:46Z,DATE_MODIFIED_15067,NULL,7.0,sysdate,NULL
list of available budget book drafts,BOOK_DRAFT,DATE_MODIFIED,DATE_MODIFIED,NULL,NULL,DATE,2013-05-07 00:53:46,2013-05-07T00:53:46Z,DATE_MODIFIED_15086,NULL,7.0,sysdate,NULL
Used at the end of the year for FMPS system to designate which accounts will not be restricted to quarterly allotments and or have percentage of appropriation held in reserve.,BU25T1_ALLOT_ACCT_EXCPT,DATE_MODIFIED,DATE_MODIFIED,NULL,NULL,DATE,2013-05-07 00:53:47,2013-05-07T00:53:47Z,DATE_MODIFIED_15134,NULL,7.0,NULL,NULL
Used at the end of the year for FMPS system to designate which departments or funds are not be restricted to quarterly allotments and/or have percentage of appropriation held in reserve.,BU25T1_ALLOT_EXCPT,DATE_MODIFIED,DATE_MODIFIED,NULL,NULL,DATE,2013-05-07 00:53:47,2013-05-07T00:53:47Z,DATE_MODIFIED_15142,NULL,7.0,NULL,NULL
Amendments during Council cycle are entered here.,BU25T1_AMENDMENTS,DATE_MODIFIED,DATE_MODIFIED,NULL,NULL,DATE,2013-05-07 00:53:47,2013-05-07T00:53:47Z,DATE_MODIFIED_15153,NULL,7.0,NULL,NULL
Amendments during Council Cycle for delegate agencies are listed here.,BU25T1_AMEND_DELG,DATE_MODIFIED,DATE_MODIFIED,NULL,NULL,DATE,2013-05-07 00:53:47,2013-05-07T00:53:47Z,DATE_MODIFIED_15199,NULL,7.0,NULL,NULL
Current budget year amendment delegate history is stored here if we ever went past 3 rounds. See bu25t1_amend_delg for column descriptions.,BU25T1_AMEND_DELG_HISTORY,DATE_MODIFIED,DATE_MODIFIED,NULL,NULL,DATE,2013-05-07 00:53:47,2013-05-07T00:53:47Z,DATE_MODIFIED_15236,NULL,7.0,NULL,NULL
Used for displaying longer account descriptions as used in Finance General,BU25T1_AMEND_DESC,DATE_MODIFIED,DATE_MODIFIED,NULL,NULL,DATE,2013-05-07 00:53:47,2013-05-07T00:53:47Z,DATE_MODIFIED_15273,NULL,7.0,NULL,NULL
Current budget year amendment history is stored here if we ever went past 3 rounds. See bu25t1_amendments for column descriptions.,BU25T1_AMEND_HISTORY,DATE_MODIFIED,DATE_MODIFIED,NULL,NULL,DATE,2013-05-07 00:53:47,2013-05-07T00:53:47Z,DATE_MODIFIED_15280,NULL,7.0,NULL,NULL
List of bargaining units for City of Chicago employees,BU25T1_BARG_UNIT,DATE_MODIFIED,DATE_MODIFIED,NULL,NULL,DATE,2013-05-07 00:53:47,2013-05-07T00:53:47Z,DATE_MODIFIED_15382,NULL,7.0,NULL,NULL
Employee information for budget process.,BU25T1_EMPLOYEES,DATE_MODIFIED,DATE_MODIFIED,NULL,NULL,DATE,2013-05-07 00:53:48,2013-05-07T00:53:48Z,DATE_MODIFIED_15533,NULL,7.0,NULL,NULL
A list of all personnel changes from CHIPPS (HR) during the budget process. ie resignations,BU25T1_EMP_HOLD,DATE_MODIFIED,DATE_MODIFIED,NULL,NULL,DATE,2013-05-07 00:53:49,2013-05-07T00:53:49Z,DATE_MODIFIED_15697,NULL,7.0,NULL,NULL
Used in Detail of Revenue Estimates published in the Budget Book,BU25T1_EST_REVENUE,DATE_MODIFIED,DATE_MODIFIED,NULL,NULL,DATE,2013-05-07 00:53:49,2013-05-07T00:53:49Z,DATE_MODIFIED_15859,NULL,7.0,NULL,NULL
Revenue Assets and Liabilities for Detail of Revenue Estimates printed in Budget Book,BU25T1_EST_REVENUE_BALANCES,DATE_MODIFIED,DATE_MODIFIED,NULL,NULL,DATE,2013-05-07 00:53:49,2013-05-07T00:53:49Z,DATE_MODIFIED_15870,NULL,7.0,NULL,NULL
List of revenue funds for Revenue Estimates printed in the Budget Book,BU25T1_EST_REVENUE_FUNDS,DATE_MODIFIED,DATE_MODIFIED,NULL,NULL,DATE,2013-05-07 00:53:49,2013-05-07T00:53:49Z,DATE_MODIFIED_15889,NULL,7.0,NULL,NULL
Used for creation of Summary A and B in the Budget Book,BU25T1_EST_REVENUE_PRIOR,DATE_MODIFIED,DATE_MODIFIED,NULL,NULL,DATE,2013-05-07 00:53:49,2013-05-07T00:53:49Z,DATE_MODIFIED_15900,NULL,7.0,NULL,NULL
list of budget level orgs to not subtotal because they are reimbursed by other City agencies. Prevents double counting.,BU25T1_EXCLUSIONS,DATE_MODIFIED,DATE_MODIFIED,NULL,NULL,DATE,2013-05-07 00:53:49,2013-05-07T00:53:49Z,DATE_MODIFIED_15908,NULL,7.0,NULL,NULL
List of user designated favorite reports,BU25T1_FAVORITE_REPORTS,DATE_MODIFIED,DATE_MODIFIED,NULL,NULL,DATE,2013-05-07 00:53:49,2013-05-07T00:53:49Z,DATE_MODIFIED_15932,NULL,7.0,NULL,NULL
Historical position counts and appropiation amounts by dept /fund/org and program,BU25T1_HIST_PERS,DATE_MODIFIED,DATE_MODIFIED,NULL,NULL,DATE,2013-05-07 00:53:50,2013-05-07T00:53:50Z,DATE_MODIFIED_16069,NULL,7.0,NULL,NULL
Historical list of dept program names,BU25T1_HIST_PGMDESC,DATE_MODIFIED,DATE_MODIFIED,NULL,NULL,DATE,2013-05-07 00:53:50,2013-05-07T00:53:50Z,DATE_MODIFIED_16072,NULL,7.0,NULL,NULL
Position table used in producing Budget Book,BU25T1_INPROCESS,DATE_MODIFIED,DATE_MODIFIED,NULL,NULL,DATE,2013-05-07 00:53:50,2013-05-07T00:53:50Z,DATE_MODIFIED_16082,NULL,7.0,NULL,NULL
Child table of bu25t1_modules. Lists parameter choices for a specific report,BU25T1_MODULE_PARMS,DATE_MODIFIED,DATE_MODIFIED,NULL,NULL,DATE,2013-05-07 00:53:50,2013-05-07T00:53:50Z,DATE_MODIFIED_16164,NULL,7.0,NULL,NULL
Used for applying new rates in effect for next budget year,BU25T1_ORNR,DATE_MODIFIED,DATE_MODIFIED,NULL,NULL,DATE,2013-05-07 00:53:50,2013-05-07T00:53:50Z,DATE_MODIFIED_16192,NULL,7.0,NULL,NULL
special payrates for specific titles,BU25T1_SPECIAL_RATES,DATE_MODIFIED,DATE_MODIFIED,NULL,NULL,DATE,2013-05-07 00:53:51,2013-05-07T00:53:51Z,DATE_MODIFIED_16385,NULL,7.0,NULL,NULL
All title codes for the City of Chicago,BU25T1_TITLES,DATE_MODIFIED,DATE_MODIFIED,NULL,NULL,DATE,2013-05-07 00:53:51,2013-05-07T00:53:51Z,DATE_MODIFIED_16460,NULL,7.0,NULL,NULL
Short and long descriptions for title codes,BU25T1_TITLE_DESC,DATE_MODIFIED,DATE_MODIFIED,NULL,NULL,DATE,2013-05-07 00:53:51,2013-05-07T00:53:51Z,DATE_MODIFIED_16468,NULL,7.0,NULL,NULL
List of title codes in alternate bargaining unit for a dept,BU25T1_TITLE_EXCP,DATE_MODIFIED,DATE_MODIFIED,NULL,NULL,DATE,2013-05-07 00:53:51,2013-05-07T00:53:51Z,DATE_MODIFIED_16479,NULL,7.0,NULL,NULL
Stores the preliminary yearly budget at the start of the budget cycle.,BU26T1_PRELIM,DATE_MODIFIED,DATE_MODIFIED,Date modified,Date modified,DATE,2013-05-07 00:53:52,2013-05-07T00:53:52Z,DATE_MODIFIED_16633,NULL,7.0,NULL,NULL
Delegate addresses,ADDRESS,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:16,2013-05-07T00:54:16Z,DATE_MODIFIED_16673,NULL,7.0,NULL,NULL
CDGA applications,APPLICATION,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:16,2013-05-07T00:54:16Z,DATE_MODIFIED_16729,NULL,7.0,NULL,NULL
Dept recommendation appropriation key,APPROPRIATION,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:16,2013-05-07T00:54:16Z,DATE_MODIFIED_16745,NULL,7.0,NULL,NULL
List of security roles,APP_ROLE,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:16,2013-05-07T00:54:16Z,DATE_MODIFIED_16755,NULL,7.0,NULL,NULL
application short cut links,APP_URL,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:16,2013-05-07T00:54:16Z,DATE_MODIFIED_16768,NULL,7.0,NULL,NULL
Authorized users,APP_USER,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:16,2013-05-07T00:54:16Z,DATE_MODIFIED_16785,NULL,7.0,NULL,NULL
List of account groupings,BUDGET_TYPE_CODE,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_MODIFIED_16799,NULL,7.0,NULL,NULL
List of City funds that provide CDGA money,CBS_FUND,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_MODIFIED_16809,NULL,7.0,NULL,NULL
List of delegate business type,CORPORATE_STATUS,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_MODIFIED_16817,NULL,7.0,NULL,NULL
List of delegates that have registered,DELEGATE,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_MODIFIED_16830,NULL,7.0,NULL,NULL
List of City departments managing CDGA programs,DEPARTMENT,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_MODIFIED_16846,NULL,7.0,NULL,NULL
Applications for Homelessness programs managed by HUD,DHS_APPLICATION,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_MODIFIED_16859,NULL,7.0,NULL,NULL
Homelessness program applicants information on building codes compliance,DHS_BUILDING_CODES,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_MODIFIED_16871,NULL,7.0,NULL,NULL
Homelessness program applicants information on facility details,DHS_BUILDING_SYSTEMS,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_MODIFIED_16888,NULL,7.0,NULL,NULL
For applicants that provide congregate apartments.,DHS_CONGREGATE_HOUSING,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_MODIFIED_16906,NULL,7.0,NULL,NULL
Homelessness program applicants information about their facilities,DHS_FACILITY,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_MODIFIED_16932,NULL,7.0,NULL,NULL
Homelessness program. If applicant leases their facility,DHS_LEASE_INFORMATION,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_MODIFIED_16956,NULL,7.0,NULL,NULL
Homelessness program applicants must provide info if their facility has a Food Handlers License or Retail Food Establishment License.,DHS_LICENSING,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_MODIFIED_16971,NULL,7.0,NULL,NULL
Homelessness program applicants facilities not currently operating at proposed location.,DHS_NEW_SITE_INFORMATION,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_MODIFIED_16991,NULL,7.0,NULL,NULL
Homelessness program. If applicant owns their facility,DHS_OWNERSHIP_INFORMATION,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_MODIFIED_17006,NULL,7.0,NULL,NULL
Homelessness program applicants program details,DHS_PROGRAM_INFORMATION,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_MODIFIED_17049,NULL,7.0,NULL,NULL
For applicants that provide individual apartments.,DHS_PROJECT_BASED_APTS,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_MODIFIED_17064,NULL,7.0,NULL,NULL
Homelessness program applicants information on safety and security,DHS_SAFETY_SYSTEMS,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_MODIFIED_17078,NULL,7.0,NULL,NULL
Additional agencies that applicant refers clients to.,DHS_SERVICE_LINKAGE,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_MODIFIED_17090,NULL,7.0,NULL,NULL
For applicants that applying for a non-residential program or social service program,DHS_SOCIAL_SERVICES,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_MODIFIED_17105,NULL,7.0,NULL,NULL
List of City department divisions or bureaus managing CDGA programs,DIVISION,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_MODIFIED_17112,NULL,7.0,NULL,NULL
Department evaluations of applications,EVALUATION,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_MODIFIED_17121,NULL,7.0,NULL,NULL
list of evaluation ratings,EVALUATION_FUNDING,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_MODIFIED_17138,NULL,7.0,NULL,NULL
List of common facility types for delegate agencies,FACILITY_TYPE,DATE_MODIFIED,DATE_MODIFIED,Date modified,Date modified,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_MODIFIED_17149,NULL,7.0,NULL,NULL
List of fringe benefits that delegate agencies offer to their employees with calulators and determination of City share,FRINGE_BENEFIT,DATE_MODIFIED,DATE_MODIFIED,Date modified,Date modified,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_MODIFIED_17166,NULL,7.0,NULL,NULL
List of fringe benefits such as social security,FRINGE_BENEFIT_TYPE_CODE,DATE_MODIFIED,DATE_MODIFIED,Date modified,Date modified,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_MODIFIED_17176,NULL,7.0,NULL,NULL
Funding sources other than CDBG money that delegates agencies are using for an application,FUND,DATE_MODIFIED,DATE_MODIFIED,Date modified,Date modified,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_MODIFIED_17187,NULL,7.0,NULL,NULL
Applicants nonpersonnel budget for program they are applying for,NON_PERSONNEL_BUDGET,DATE_MODIFIED,DATE_MODIFIED,Date modified,Date modified,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_MODIFIED_17216,NULL,7.0,NULL,NULL
list of days and hours of operation for delegates,OFFICE_HOURS,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_MODIFIED_17228,NULL,7.0,NULL,NULL
Applicants personnel budget for program they are applying for,PERSONNEL_BUDGET,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_MODIFIED_17243,NULL,7.0,NULL,NULL
PIAD stands for Problem,PIAD,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_MODIFIED_17256,NULL,7.0,NULL,NULL
List of previous funding applicant has received for the program they are applying for,PREVIOUS_FUNDING,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_MODIFIED_17268,NULL,7.0,NULL,NULL
Funding categories that applicant has previously applied for.,PREVIOUS_FUNDING_TYPE_CODE,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_MODIFIED_17276,NULL,7.0,NULL,NULL
List of CDGA programs,PROGRAM,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_MODIFIED_17287,NULL,7.0,NULL,NULL
Applicant address that will provide services for this program,SERVICE_AREA,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_MODIFIED_17301,NULL,7.0,NULL,NULL
list of valid city street names,STREET,DATE_MODIFIED,DATE_MODIFIED,Date modified,Date modified,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_MODIFIED_17309,NULL,7.0,NULL,NULL
Messages to be displayed on CDGA dashboard,SYSTEM_MESSAGE,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_MODIFIED_17318,NULL,7.0,NULL,NULL
Categories for messages to be displayed on CDGA dashboard,SYSTEM_MESSAGE_CATEGORY,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:19,2013-05-07T00:54:19Z,DATE_MODIFIED_17337,NULL,7.0,NULL,NULL
Dates that system is available to users based upon their role,SYSTEM_SETTINGS,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:19,2013-05-07T00:54:19Z,DATE_MODIFIED_17352,NULL,7.0,NULL,NULL
Adjacent wards that will be served by a delegate applications,WARDS_SERVED,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:19,2013-05-07T00:54:19Z,DATE_MODIFIED_17365,NULL,7.0,NULL,NULL
Performance measures for applicants,WORK_PROGRAM,DATE_MODIFIED,DATE_MODIFIED,Date Modified,Date Modified,DATE,2013-05-07 00:54:19,2013-05-07T00:54:19Z,DATE_MODIFIED_17387,NULL,7.0,NULL,NULL
X coordinate low-state plane coordinates,BU50T1_ADDRESSES,DATE_MODIFIED,DATE_MODIFIED,Last update date,Last update date,DATE,2013-05-07 00:54:44,2013-05-07T00:54:44Z,DATE_MODIFIED_17407,NULL,7.0,NULL,NULL
Address information stored as part of batch geocoding.,BU50T1_ADDRESSES_TEMP,DATE_MODIFIED,DATE_MODIFIED,Last update date,Last update date,DATE,2013-05-07 00:54:44,2013-05-07T00:54:44Z,DATE_MODIFIED_17433,NULL,7.0,NULL,NULL
work types associated to the address table,BU50T1_ADDRESS_WORK_TYPES,DATE_MODIFIED,DATE_MODIFIED,Last update date,Last update date,DATE,2013-05-07 00:54:44,2013-05-07T00:54:44Z,DATE_MODIFIED_17455,NULL,7.0,NULL,NULL
Contains all the work type information for a CPM number.,BU50T1_ADDRESS_WORK_TYPE_JN,DATE_MODIFIED,DATE_MODIFIED,Last update date,Last update date,DATE,2013-05-07 00:54:45,2013-05-07T00:54:45Z,DATE_MODIFIED_17483,NULL,7.0,NULL,NULL
legacy table from the CIP system which was replaced by CPM; no longer used in current CPM operations,BU50T1_BENCHMARKS,DATE_MODIFIED,DATE_MODIFIED,Last update date,Last update date,DATE,2013-05-07 00:54:45,2013-05-07T00:54:45Z,DATE_MODIFIED_17507,NULL,7.0,NULL,NULL
stores the list of all bureaus in CPM,BU50T1_BUREAUS,DATE_MODIFIED,DATE_MODIFIED,Last update date,Last update date,DATE,2013-05-07 00:54:45,2013-05-07T00:54:45Z,DATE_MODIFIED_17530,NULL,7.0,NULL,NULL
stores general CDOT contact information,BU50T1_CDOT_CONTRACTS,DATE_MODIFIED,DATE_MODIFIED,Last update date,Last update date,DATE,2013-05-07 00:54:45,2013-05-07T00:54:45Z,DATE_MODIFIED_17560,NULL,7.0,NULL,NULL
stores contract benchmark information contained in the legacy system CIP; which was replaced by CPM.,BU50T1_CDOT_CONTRACT_BENCHMARK,DATE_MODIFIED,DATE_MODIFIED,Last update date,Last update date,DATE,2013-05-07 00:54:45,2013-05-07T00:54:45Z,DATE_MODIFIED_17616,NULL,7.0,NULL,NULL
Contains comments on the CDOT contract,BU50T1_CDOT_CONTRACT_COMMENTS,DATE_MODIFIED,DATE_MODIFIED,Last update date,Last update date,DATE,2013-05-07 00:54:45,2013-05-07T00:54:45Z,DATE_MODIFIED_17627,NULL,7.0,NULL,NULL
